,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,25.0,,,9.0,4.0,[54 46 50 52],"['Tesca Lobes', 'Anne Olwada', 'Christian Francois', 'Anna Kaufmann']",Role 1,,Role_1,,Create Purchase Requisition
1,,20.5,,,16.0,4.0,[115  23  93  99],"['Francis Odell', 'Esmana Liubiata', 'Heinz Gutschmidt', 'Maris Freeman']",Role 2,,Role_2,,Create Request for Quotation
2,,25.0,,,0.0,3.0,[376 364 367   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 3,,Role_3,,Analyze Request for Quotation
3,,19.0,,,13.0,3.0,[124 133 125   0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 4,,Role_4,,Analyze Purchase Requisition
4,,25.0,,,5.0,4.0,[50 43 40 47],"['Anne Olwada', 'Immanuel Karagianni', 'Kim Passa', 'Miu Hanwan']",Role 5,,Role_5,,Amend Request for Quotation
5,,25.0,,,4.0,3.0,[129 156 128   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 6,,Role_6,,Send Request for Quotation to Supplier
6,,25.0,,,15.0,3.0,[149 144 120   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 7,,Role_7,,Create Quotation comparison Map
7,,25.0,,,14.0,4.0,[37 34 33 32],"['Tesca Lobes', 'Alberto Duport', 'Nico Ojenbeer', 'Christian Francois']",Role 8,,Role_8,,Analyze Quotation Comparison Map
8,,25.0,,,1.0,4.0,[35 37 35 35],"['Immanuel Karagianni', 'Fjodor Kowalski', 'Kim Passa', 'Penn Osterwalder']",Role 9,,Role_9,,Choose best option
9,,25.0,,,18.0,3.0,[144 125 144   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 10,,Role_10,,Settle Conditions With Supplier
