,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,25.0,,,9.0,3.0,[54 52 50],"['Tesca Lobes', 'Anna Kaufmann', 'Christian Francois']",Role 1,,Role_1,,Create Purchase Requisition
1,,19.0,,,16.0,3.0,[ 93  99 115],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 2,,Role_2,,Create Request for Quotation
2,,25.0,,,0.0,3.0,[376 364 367],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 3,,Role_3,,Analyze Request for Quotation
3,,19.0,,,13.0,3.0,[124 133 125],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 4,,Role_4,,Analyze Purchase Requisition
4,,25.0,,,5.0,3.0,[47 50 43],"['Miu Hanwan', 'Anne Olwada', 'Immanuel Karagianni']",Role 5,,Role_5,,Amend Request for Quotation
5,,25.0,,,4.0,3.0,[129 156 128],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 6,,Role_6,,Send Request for Quotation to Supplier
6,,25.0,,,15.0,3.0,[149 144 120],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 7,,Role_7,,Create Quotation comparison Map
7,,25.0,,,14.0,3.0,[37 33 34],"['Tesca Lobes', 'Nico Ojenbeer', 'Alberto Duport']",Role 8,,Role_8,,Analyze Quotation Comparison Map
8,,25.0,,,1.0,3.0,[35 37 35],"['Penn Osterwalder', 'Fjodor Kowalski', 'Kim Passa']",Role 9,,Role_9,,Choose best option
9,,25.0,,,18.0,3.0,[144 125 144],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 10,,Role_10,,Settle Conditions With Supplier
10,,25.0,,,19.0,3.0,[148 138 127],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 11,,Role_11,,Create Purchase Order
11,,18.0,,,3.0,3.0,[102  79  93],"['Kiu Kan', 'Karen Clarens', 'Carmen Finacse']",Role 12,,Role_12,,Confirm Purchase Order
12,,18.0,,,2.0,3.0,[90 85 83],"['Kiu Kan', 'Esmeralda Clay', 'Carmen Finacse']",Role 13,,Role_13,,Deliver Goods Services
13,,25.0,,,7.0,3.0,[36 38 35],"['Tesca Lobes', 'Immanuel Karagianni', 'Elvira Lores']",Role 14,,Role_14,,Release Purchase Order
14,,25.0,,,20.0,3.0,[138 142 133],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 15,,Role_15,,Approve Purchase Order for payment
15,,18.0,,,10.0,3.0,[116  80  83],"['Kiu Kan', 'Esmeralda Clay', 'Carmen Finacse']",Role 16,,Role_16,,Send Invoice
16,,11.0,,,12.0,2.0,[201 202   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 17,,Role_17,,Release Supplier's Invoice
17,,11.0,,,17.0,2.0,[197 216   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 18,,Role_18,,Authorize Supplier's Invoice payment
18,,11.0,,,8.0,2.0,[197 216   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 19,,Role_19,,Pay Invoice
19,,15.666666666666666,,,11.0,3.0,[47 14 33],"['Pedro Alvares', 'Francois de Perrier', 'Karalda Nimwada']",Role 20,,Role_20,,Settle Dispute With Supplier
20,,25.0,,,6.0,3.0,[2 2 2],"['Immanuel Karagianni', 'Kim Passa', 'Miu Hanwan']",Role 21,,Role_21,,Amend Purchase Requisition
0,,25.0,25.0,162300.0,,,,Tesca Lobes,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,25.0,25.0,151680.0,,,,Anna Kaufmann,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,25.0,25.0,161280.0,,,,Christian Francois,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,19.0,19.0,81720.0,,,,Heinz Gutschmidt,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,19.0,19.0,83580.0,,,,Maris Freeman,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,19.0,19.0,78360.0,,,,Francis Odell,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,25.0,25.0,7433280.0,,,,Magdalena Predutta,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,25.0,25.0,6787620.0,,,,Karel de Groot,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,25.0,25.0,7418700.0,,,,Francois de Perrier,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,19.0,19.0,81720.0,,,,Heinz Gutschmidt,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,19.0,19.0,83580.0,,,,Maris Freeman,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,19.0,19.0,78360.0,,,,Francis Odell,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
12,,25.0,25.0,157140.0,,,,Miu Hanwan,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
13,,25.0,25.0,163560.0,,,,Anne Olwada,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
14,,25.0,25.0,128520.0,,,,Immanuel Karagianni,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
