,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,25.0,,,9.0,1.0,[54],['Tesca Lobes'],Role 1,,Role_1,,Create Purchase Requisition
1,,19.0,,,16.0,1.0,[115],['Francis Odell'],Role 2,,Role_2,,Create Request for Quotation
2,,25.0,,,0.0,1.0,[376],['Magdalena Predutta'],Role 3,,Role_3,,Analyze Request for Quotation
3,,19.0,,,13.0,1.0,[133],['Maris Freeman'],Role 4,,Role_4,,Analyze Purchase Requisition
4,,25.0,,,5.0,1.0,[50],['Anne Olwada'],Role 5,,Role_5,,Amend Request for Quotation
5,,25.0,,,4.0,1.0,[156],['Karel de Groot'],Role 6,,Role_6,,Send Request for Quotation to Supplier
6,,25.0,,,15.0,1.0,[149],['Magdalena Predutta'],Role 7,,Role_7,,Create Quotation comparison Map
7,,25.0,,,14.0,1.0,[37],['Tesca Lobes'],Role 8,,Role_8,,Analyze Quotation Comparison Map
8,,25.0,,,1.0,1.0,[37],['Fjodor Kowalski'],Role 9,,Role_9,,Choose best option
9,,25.0,,,18.0,1.0,[144],['Magdalena Predutta'],Role 10,,Role_10,,Settle Conditions With Supplier
10,,25.0,,,19.0,1.0,[148],['Magdalena Predutta'],Role 11,,Role_11,,Create Purchase Order
11,,18.0,,,3.0,1.0,[102],['Kiu Kan'],Role 12,,Role_12,,Confirm Purchase Order
12,,18.0,,,2.0,1.0,[90],['Kiu Kan'],Role 13,,Role_13,,Deliver Goods Services
13,,25.0,,,7.0,1.0,[38],['Immanuel Karagianni'],Role 14,,Role_14,,Release Purchase Order
14,,25.0,,,20.0,1.0,[142],['Karel de Groot'],Role 15,,Role_15,,Approve Purchase Order for payment
15,,18.0,,,10.0,1.0,[116],['Kiu Kan'],Role 16,,Role_16,,Send Invoice
16,,11.0,,,12.0,1.0,[202],['Pedro Alvares'],Role 17,,Role_17,,Release Supplier's Invoice
17,,11.0,,,17.0,1.0,[216],['Pedro Alvares'],Role 18,,Role_18,,Authorize Supplier's Invoice payment
18,,11.0,,,8.0,1.0,[216],['Pedro Alvares'],Role 19,,Role_19,,Pay Invoice
19,,11.0,,,11.0,1.0,[47],['Pedro Alvares'],Role 20,,Role_20,,Settle Dispute With Supplier
20,,25.0,,,6.0,1.0,[2],['Kim Passa'],Role 21,,Role_21,,Amend Purchase Requisition
0,,25.0,25.0,162300.0,,,,Tesca Lobes,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,19.0,19.0,78360.0,,,,Francis Odell,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,25.0,25.0,7433280.0,,,,Magdalena Predutta,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,19.0,19.0,83580.0,,,,Maris Freeman,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,25.0,25.0,163560.0,,,,Anne Olwada,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,25.0,25.0,6787620.0,,,,Karel de Groot,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,25.0,25.0,7433280.0,,,,Magdalena Predutta,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,25.0,25.0,162300.0,,,,Tesca Lobes,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,25.0,25.0,152220.0,,,,Fjodor Kowalski,Role 9,Role_9,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,25.0,25.0,7433280.0,,,,Magdalena Predutta,Role 10,Role_10,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,25.0,25.0,7433280.0,,,,Magdalena Predutta,Role 11,Role_11,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,18.0,18.0,8587380.0,,,,Kiu Kan,Role 12,Role_12,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
12,,18.0,18.0,8587380.0,,,,Kiu Kan,Role 13,Role_13,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
13,,25.0,25.0,128520.0,,,,Immanuel Karagianni,Role 14,Role_14,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
14,,25.0,25.0,6787620.0,,,,Karel de Groot,Role 15,Role_15,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
15,,18.0,18.0,8587380.0,,,,Kiu Kan,Role 16,Role_16,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
16,,11.0,11.0,245580.0,,,,Pedro Alvares,Role 17,Role_17,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
17,,11.0,11.0,245580.0,,,,Pedro Alvares,Role 18,Role_18,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
18,,11.0,11.0,245580.0,,,,Pedro Alvares,Role 19,Role_19,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
19,,11.0,11.0,245580.0,,,,Pedro Alvares,Role 20,Role_20,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
20,,25.0,25.0,150540.0,,,,Kim Passa,Role 21,Role_21,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
