type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload
Role_12,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,2.4666579E8,4172217.0,4291962.0,4215199.0,4211468.0,4220215.0,4222212.2,2.1111061E7,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,1.3703655E7,1.5223008022312297,1.5659917007542878,1.5379834795899343,1.536622163940934,1.5398136482566147,1.5405423589546001,7.702711794773001,Carmen Finacse,4.9333158E7,4291962,2740731,1.5659917007542878,Esmeralda Clay,4.9333158E7,4220215,2740731,1.5398136482566147,Karen Clarens,4.9333158E7,4172217,2740731,1.5223008022312297,Kiu Kan,4.9333158E7,4211468,2740731,1.536622163940934,Sean Manney,4.9333158E7,4215199,2740731,1.5379834795899343,,,,,
Role_13,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,4.1110965E8,2220.0,2280.0,2220.0,2220.0,2280.0,2250.0,13500.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,1.6444386E7,8.100028787940152E-4,8.318948484911507E-4,8.100028787940152E-4,8.100028787940152E-4,8.318948484911507E-4,8.20948863642583E-4,0.004925693181855498,Clement Duchot,6.8518275E7,2280,2740731,8.318948484911507E-4,Miu Hanwan,6.8518275E7,2220,2740731,8.100028787940152E-4,Fjodor Kowalski,6.8518275E7,2220,2740731,8.100028787940152E-4,Anne Olwada,6.8518275E7,2280,2740731,8.318948484911507E-4,Immanuel Karagianni,6.8518275E7,2220,2740731,8.100028787940152E-4,Elvira Lores,6.8518275E7,2280,2740731,8.318948484911507E-4
Role_10,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,2.05554825E8,41128.0,43661.0,43030.0,41128.0,43661.0,42606.333333333336,127819.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,8222193.0,0.015006215495063178,0.01593042148244392,0.015700190934462375,0.015006215495063178,0.01593042148244392,0.015545609303989823,0.04663682791196947,Karel de Groot,6.8518275E7,43661,2740731,0.01593042148244392,Magdalena Predutta,6.8518275E7,43030,2740731,0.015700190934462375,Francois de Perrier,6.8518275E7,41128,2740731,0.015006215495063178,,,,,,,,,,,,,,,
Role_11,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,2.4666579E8,49022.0,56572.0,50763.0,49548.0,55820.0,52345.0,261725.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,1.3703655E7,0.01788646897488298,0.020641208495105867,0.01852170096226153,0.018078388575894534,0.020366829141568437,0.019098919229942668,0.09549459614971334,Carmen Finacse,4.9333158E7,50763,2740731,0.01852170096226153,Esmeralda Clay,4.9333158E7,49548,2740731,0.018078388575894534,Karen Clarens,4.9333158E7,49022,2740731,0.01788646897488298,Kiu Kan,4.9333158E7,56572,2740731,0.020641208495105867,Sean Manney,4.9333158E7,55820,2740731,0.020366829141568437,,,,,
Role_16,3.0148041E7,3.0148041E7,3.0148041E7,3.0148041E7,3.0148041E7,3.0148041E7,6.0296082E7,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,5481462.0,0.010947809179375868,0.011091566447053725,0.010947809179375868,0.010947809179375868,0.011091566447053725,0.011019687813214796,0.022039375626429592,Pedro Alvares,3.0148041E7,30005,2740731,0.010947809179375868,Karalda Nimwada,3.0148041E7,30399,2740731,0.011091566447053725,,,,,,,,,,,,,,,,,,,,
Role_17,3.0148041E7,3.0148041E7,3.0148041E7,3.0148041E7,3.0148041E7,3.0148041E7,6.0296082E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,5481462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,3.0148041E7,0,2740731,0.0,Karalda Nimwada,3.0148041E7,0,2740731,0.0,,,,,,,,,,,,,,,,,,,,
Role_14,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,2.05554825E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,8222193.0,0.001641897727285166,0.001641897727285166,0.001641897727285166,0.001641897727285166,0.001641897727285166,0.001641897727285166,0.004925693181855498,Karel de Groot,6.8518275E7,4500,2740731,0.001641897727285166,Magdalena Predutta,6.8518275E7,4500,2740731,0.001641897727285166,Francois de Perrier,6.8518275E7,4500,2740731,0.001641897727285166,,,,,,,,,,,,,,,
Role_15,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,4.9333158E7,2.4666579E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,1.3703655E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,4.9333158E7,0,2740731,0.0,Esmeralda Clay,4.9333158E7,0,2740731,0.0,Karen Clarens,4.9333158E7,0,2740731,0.0,Kiu Kan,4.9333158E7,0,2740731,0.0,Sean Manney,4.9333158E7,0,2740731,0.0,,,,,
Role_9,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,2.05554825E8,2489035.0,2507966.0,2499855.0,2489035.0,2507966.0,2498952.0,7496856.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,8222193.0,0.9081646465851628,0.9150719278907707,0.9121124984538796,0.9081646465851628,0.9150719278907707,0.9117830243099377,2.735349072929813,Karel de Groot,6.8518275E7,2507966,2740731,0.9150719278907707,Magdalena Predutta,6.8518275E7,2499855,2740731,0.9121124984538796,Francois de Perrier,6.8518275E7,2489035,2740731,0.9081646465851628,,,,,,,,,,,,,,,
Role_5,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,6.8518275E7,2.05554825E8,100445.0,107500.0,106153.0,100445.0,107500.0,104699.33333333333,314098.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,2740731.0,8222193.0,0.036648981603813,0.039223112374034516,0.03873163765433382,0.036648981603813,0.039223112374034516,0.03820124387739378,0.11460373163218134,Karel de Groot,6.8518275E7,107500,2740731,0.039223112374034516,Magdalena Predutta,6.8518275E7,106153,2740731,0.03873163765433382,Francois de Perrier,6.8518275E7,100445,2740731,0.036648981603813,,,,,,,,,,,,,,,
