,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,25.0,,,14.0,2.0,[11  9],"['Kim Passa', 'Christian Francois']",Role 1,,Role_1,,Create Purchase Requisition
1,,19.0,,,3.0,2.0,[28 32],"['Heinz Gutschmidt', 'Maris Freeman']",Role 2,,Role_2,,Analyze Purchase Requisition
2,,19.0,,,8.0,2.0,[28 33],"['Heinz Gutschmidt', 'Francis Odell']",Role 3,,Role_3,,Create Request for Quotation
3,,25.0,,,0.0,2.0,[31 30],"['Magdalena Predutta', 'Karel de Groot']",Role 4,,Role_4,,Analyze Request for Quotation
4,,25.0,,,9.0,2.0,[30 34],"['Francois de Perrier', 'Karel de Groot']",Role 5,,Role_5,,Send Request for Quotation to Supplier
5,,25.0,,,7.0,2.0,[36 30],"['Magdalena Predutta', 'Francois de Perrier']",Role 6,,Role_6,,Create Quotation comparison Map
6,,25.0,,,6.0,2.0,[12  9],"['Tesca Lobes', 'Alberto Duport']",Role 7,,Role_7,,Analyze Quotation Comparison Map
7,,25.0,,,4.0,2.0,[8 9],"['Alberto Duport', 'Fjodor Kowalski']",Role 8,,Role_8,,Choose best option
8,,25.0,,,17.0,2.0,[32 31],"['Magdalena Predutta', 'Karel de Groot']",Role 9,,Role_9,,Settle Conditions With Supplier
9,,25.0,,,15.0,2.0,[28 32],"['Magdalena Predutta', 'Karel de Groot']",Role 10,,Role_10,,Create Purchase Order
10,,18.0,,,10.0,2.0,[24 21],"['Kiu Kan', 'Carmen Finacse']",Role 11,,Role_11,,Confirm Purchase Order
11,,18.0,,,5.0,2.0,[20 20],"['Kiu Kan', 'Esmeralda Clay']",Role 12,,Role_12,,Deliver Goods Services
12,,25.0,,,1.0,2.0,[11 10],"['Miu Hanwan', 'Immanuel Karagianni']",Role 13,,Role_13,,Release Purchase Order
13,,25.0,,,16.0,2.0,[28 33],"['Francois de Perrier', 'Karel de Groot']",Role 14,,Role_14,,Approve Purchase Order for payment
